condition,exemplar,intensity,duration,a,b,c,d,attempts
b,af1,100,6,1,1,0,0,1
b,af1,100,6,1,1,0,0,1
b,af1,100,6,1,1,0,0,1
b,af1,100,6,1,1,0,0,1
b,af1,100,6,1,1,0,0,1
