intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,File_Extension
100,6,1,1,1,1,0,1,1,a,c,f,1,cf1,_happy
100,6,1,1,1,1,0,2,3,b,c,f,1,cf1,_sad
100,6,1,1,1,1,0,3,4,c,c,f,1,cf1,_mad
100,6,1,1,1,1,0,4,2,d,c,f,1,cf1,_scared
