"intensity","duration","a","b","c","d","attempts","randomized","natural","condition","Incorrect","Comparison","Adult","Gender","exemplar","File_Extension"
100,6,1,0,0,1,1,60,"HSc01","a","d","Happy - Scared","a","f","af1","_happy"
100,6,1,0,0,1,1,61,"HSc07","a","d","Happy - Scared","a","m","am3","_happy"
100,6,1,0,0,1,1,62,"HSc09","d","a","Happy - Scared","a","f","af1","_scared"
100,6,1,0,0,1,1,63,"HSc12","d","a","Happy - Scared","a","f","af4","_scared"
100,6,1,0,0,1,1,64,"HSc10","d","a","Happy - Scared","a","f","af2","_scared"
100,6,1,0,1,0,1,65,"HM09","c","a","Happy - Mad","a","f","af1","_mad"
100,6,1,0,1,0,1,66,"HM11","c","a","Happy - Mad","a","f","af3","_mad"
100,6,1,0,1,0,1,67,"HM16","c","a","Happy - Mad","a","m","am4","_mad"
100,6,1,0,1,0,1,68,"HM14","c","a","Happy - Mad","a","m","am2","_mad"
100,6,1,0,1,0,1,69,"HM06","a","c","Happy - Mad","a","m","am2","_happy"
100,6,1,0,1,0,1,70,"HM08","a","c","Happy - Mad","a","m","am4","_happy"
100,6,1,0,1,0,1,71,"HM03","a","c","Happy - Mad","a","f","af3","_happy"
100,6,1,0,1,0,1,72,"HM02","a","c","Happy - Mad","a","f","af2","_happy"
100,6,0,1,0,1,1,73,"SS02","b","d","Sad - Scared","a","f","af2","_sad"
100,6,0,1,0,1,1,74,"SS14","d","b","Sad - Scared","a","m","am2","_scared"
100,6,0,1,0,1,1,75,"SS13","d","b","Sad - Scared","a","m","am1","_scared"
100,6,0,1,0,1,1,76,"SS08","b","d","Sad - Scared","a","m","am4","_sad"
100,6,0,1,0,1,1,77,"SS03","b","d","Sad - Scared","a","f","af3","_sad"
100,6,0,1,0,1,1,78,"SS15","d","b","Sad - Scared","a","m","am3","_scared"
100,6,0,1,0,1,1,79,"SS05","b","d","Sad - Scared","a","m","am1","_sad"
100,6,0,1,0,1,1,80,"SS07","b","d","Sad - Scared","a","m","am3","_sad"
