intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,Emotion,File_Extension,block
100,12,1,1,1,1,0,1,2,b,a,f,2,af2,Sad,_sad,0
100,12,1,1,1,1,0,2,1,a,a,f,2,af2,Happy,_happy,0
100,12,1,1,1,1,0,3,5,a,a,m,4,am4,Happy,_happy,0
100,6,1,1,1,1,0,4,8,d,a,m,4,am4,Scared,_scared,0
100,12,1,1,1,1,0,5,3,c,a,f,2,af2,Mad,_mad,0
100,6,1,1,1,1,0,6,6,b,a,m,4,am4,Sad,_sad,0
100,6,1,1,1,1,0,7,4,d,a,f,2,af2,Scared,_scared,0
100,6,1,1,1,1,0,8,7,c,a,m,4,am4,Mad,_mad,0
100,6,1,1,1,1,0,1,16,d,a,m,2,am2,Scared,_scared,1
100,12,1,1,1,1,0,2,13,a,a,m,2,am2,Happy,_happy,1
100,12,1,1,1,1,0,3,2,b,a,f,1,af1,Sad,_sad,1
100,12,1,1,1,1,0,4,8,d,a,f,4,af4,Scared,_scared,1
100,6,1,1,1,1,0,5,15,c,a,m,2,am2,Mad,_mad,1
100,12,1,1,1,1,0,6,6,b,a,f,4,af4,Sad,_sad,1
100,6,1,1,1,1,0,7,7,c,a,f,4,af4,Mad,_mad,1
100,12,1,1,1,1,0,8,10,b,a,m,1,am1,Sad,_sad,1
100,6,1,1,1,1,0,9,4,d,a,f,1,af1,Scared,_scared,1
100,6,1,1,1,1,0,10,14,b,a,m,2,am2,Sad,_sad,1
100,12,1,1,1,1,0,11,3,c,a,f,1,af1,Mad,_mad,1
100,6,1,1,1,1,0,12,9,a,a,m,1,am1,Happy,_happy,1
100,6,1,1,1,1,0,13,1,a,a,f,1,af1,Happy,_happy,1
100,12,1,1,1,1,0,14,12,d,a,m,1,am1,Scared,_scared,1
100,6,1,1,1,1,0,15,11,c,a,m,1,am1,Mad,_mad,1
100,12,1,1,1,1,0,16,5,a,a,f,4,af4,Happy,_happy,1
100,12,1,1,1,1,0,17,23,c,a,f,4,af4,Mad,_mad,2
100,6,1,1,1,1,0,18,18,b,a,f,1,af1,Sad,_sad,2
100,6,1,1,1,1,0,19,26,b,a,m,1,am1,Sad,_sad,2
100,6,1,1,1,1,0,20,24,d,a,f,4,af4,Scared,_scared,2
100,6,1,1,1,1,0,21,22,b,a,f,4,af4,Sad,_sad,2
100,12,1,1,1,1,0,22,31,c,a,m,2,am2,Mad,_mad,2
100,12,1,1,1,1,0,23,32,d,a,m,2,am2,Scared,_scared,2
100,6,1,1,1,1,0,24,19,c,a,f,1,af1,Mad,_mad,2
100,6,1,1,1,1,0,25,21,a,a,f,4,af4,Happy,_happy,2
100,12,1,1,1,1,0,26,25,a,a,m,1,am1,Happy,_happy,2
100,6,1,1,1,1,0,27,28,d,a,m,1,am1,Scared,_scared,2
100,12,1,1,1,1,0,28,17,a,a,f,1,af1,Happy,_happy,2
100,12,1,1,1,1,0,29,30,b,a,m,2,am2,Sad,_sad,2
100,6,1,1,1,1,0,30,29,a,a,m,2,am2,Happy,_happy,2
100,12,1,1,1,1,0,31,27,c,a,m,1,am1,Mad,_mad,2
100,12,1,1,1,1,0,32,20,d,a,f,1,af1,Scared,_scared,2
100,12,1,1,1,1,0,33,35,c,a,f,1,af1,Mad,_mad,3
100,6,1,1,1,1,0,34,46,b,a,m,2,am2,Sad,_sad,3
100,12,1,1,1,1,0,35,37,a,a,f,4,af4,Happy,_happy,3
100,6,1,1,1,1,0,36,47,c,a,m,2,am2,Mad,_mad,3
100,12,1,1,1,1,0,37,34,b,a,f,1,af1,Sad,_sad,3
100,12,1,1,1,1,0,38,38,b,a,f,4,af4,Sad,_sad,3
100,12,1,1,1,1,0,39,42,b,a,m,1,am1,Sad,_sad,3
100,12,1,1,1,1,0,40,45,a,a,m,2,am2,Happy,_happy,3
100,6,1,1,1,1,0,41,41,a,a,m,1,am1,Happy,_happy,3
100,12,1,1,1,1,0,42,40,d,a,f,4,af4,Scared,_scared,3
100,6,1,1,1,1,0,43,39,c,a,f,4,af4,Mad,_mad,3
100,6,1,1,1,1,0,44,33,a,a,f,1,af1,Happy,_happy,3
100,6,1,1,1,1,0,45,48,d,a,m,2,am2,Scared,_scared,3
100,6,1,1,1,1,0,46,43,c,a,m,1,am1,Mad,_mad,3
100,12,1,1,1,1,0,47,44,d,a,m,1,am1,Scared,_scared,3
100,6,1,1,1,1,0,48,36,d,a,f,1,af1,Scared,_scared,3
100,6,1,1,1,1,0,49,54,b,a,f,4,af4,Sad,_sad,4
100,12,1,1,1,1,0,50,52,d,a,f,1,af1,Scared,_scared,4
100,6,1,1,1,1,0,51,60,d,a,m,1,am1,Scared,_scared,4
100,6,1,1,1,1,0,52,56,d,a,f,4,af4,Scared,_scared,4
100,12,1,1,1,1,0,53,64,d,a,m,2,am2,Scared,_scared,4
100,6,1,1,1,1,0,54,53,a,a,f,4,af4,Happy,_happy,4
100,12,1,1,1,1,0,55,59,c,a,m,1,am1,Mad,_mad,4
100,12,1,1,1,1,0,56,49,a,a,f,1,af1,Happy,_happy,4
100,12,1,1,1,1,0,57,55,c,a,f,4,af4,Mad,_mad,4
100,12,1,1,1,1,0,58,63,c,a,m,2,am2,Mad,_mad,4
100,6,1,1,1,1,0,59,61,a,a,m,2,am2,Happy,_happy,4
100,6,1,1,1,1,0,60,50,b,a,f,1,af1,Sad,_sad,4
100,12,1,1,1,1,0,61,62,b,a,m,2,am2,Sad,_sad,4
100,12,1,1,1,1,0,62,57,a,a,m,1,am1,Happy,_happy,4
100,6,1,1,1,1,0,63,58,b,a,m,1,am1,Sad,_sad,4
100,6,1,1,1,1,0,64,51,c,a,f,1,af1,Mad,_mad,4
