intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,Emotion,File_Extension,block,trial_id
100,6,1,1,1,1,0,1,2,b,a,f,2,af2,Sad,_sad,0,T1
100,12,1,1,1,1,0,2,1,a,a,f,2,af2,Happy,_happy,0,T2
100,12,1,1,1,1,0,3,5,a,a,m,4,am4,Happy,_happy,0,T3
100,6,1,1,1,1,0,4,8,d,a,m,4,am4,Scared,_scared,0,T4
100,12,1,1,1,1,0,5,3,c,a,f,2,af2,Mad,_mad,0,T5
100,12,1,1,1,1,0,6,6,b,a,m,4,am4,Sad,_sad,0,T6
100,6,1,1,1,1,0,7,4,d,a,f,2,af2,Scared,_scared,0,T7
100,6,1,1,1,1,0,8,7,c,a,m,4,am4,Mad,_mad,0,T8
100,6,1,1,1,1,0,1,16,d,a,m,2,am2,Scared,_scared,1,T9
100,12,1,1,1,1,0,2,13,a,a,m,2,am2,Happy,_happy,1,T10
100,12,1,1,1,1,0,3,2,b,a,f,1,af1,Sad,_sad,1,T11
100,12,1,1,1,1,0,4,8,d,a,f,4,af4,Scared,_scared,1,T12
100,6,1,1,1,1,0,5,15,c,a,m,2,am2,Mad,_mad,1,T13
100,6,1,1,1,1,0,6,6,b,a,f,4,af4,Sad,_sad,1,T14
100,6,1,1,1,1,0,7,7,c,a,f,4,af4,Mad,_mad,1,T15
100,12,1,1,1,1,0,8,10,b,a,m,1,am1,Sad,_sad,1,T16
100,6,1,1,1,1,0,9,4,d,a,f,1,af1,Scared,_scared,1,T17
100,6,1,1,1,1,0,10,14,b,a,m,2,am2,Sad,_sad,1,T18
100,12,1,1,1,1,0,11,3,c,a,f,1,af1,Mad,_mad,1,T19
100,6,1,1,1,1,0,12,9,a,a,m,1,am1,Happy,_happy,1,T20
100,6,1,1,1,1,0,13,1,a,a,f,1,af1,Happy,_happy,1,T21
100,12,1,1,1,1,0,14,12,d,a,m,1,am1,Scared,_scared,1,T22
100,12,1,1,1,1,0,15,11,c,a,m,1,am1,Mad,_mad,1,T23
100,12,1,1,1,1,0,16,5,a,a,f,4,af4,Happy,_happy,1,T24
100,12,1,1,1,1,0,17,23,c,a,f,4,af4,Mad,_mad,2,T25
100,6,1,1,1,1,0,18,18,b,a,f,1,af1,Sad,_sad,2,T26
100,6,1,1,1,1,0,19,26,b,a,m,1,am1,Sad,_sad,2,T27
100,6,1,1,1,1,0,20,24,d,a,f,4,af4,Scared,_scared,2,T28
100,12,1,1,1,1,0,21,22,b,a,f,4,af4,Sad,_sad,2,T29
100,12,1,1,1,1,0,22,31,c,a,m,2,am2,Mad,_mad,2,T30
100,12,1,1,1,1,0,23,32,d,a,m,2,am2,Scared,_scared,2,T31
100,6,1,1,1,1,0,24,19,c,a,f,1,af1,Mad,_mad,2,T32
100,6,1,1,1,1,0,25,21,a,a,f,4,af4,Happy,_happy,2,T33
100,12,1,1,1,1,0,26,25,a,a,m,1,am1,Happy,_happy,2,T34
100,6,1,1,1,1,0,27,28,d,a,m,1,am1,Scared,_scared,2,T35
100,12,1,1,1,1,0,28,17,a,a,f,1,af1,Happy,_happy,2,T36
100,12,1,1,1,1,0,29,30,b,a,m,2,am2,Sad,_sad,2,T37
100,6,1,1,1,1,0,30,29,a,a,m,2,am2,Happy,_happy,2,T38
100,6,1,1,1,1,0,31,27,c,a,m,1,am1,Mad,_mad,2,T39
100,12,1,1,1,1,0,32,20,d,a,f,1,af1,Scared,_scared,2,T40
100,12,1,1,1,1,0,33,35,c,a,f,1,af1,Mad,_mad,3,T41
