intensity,duration,a,b,c,d,attempts,randomized,natural,condition,Adult,Gender,Exemplarno,exemplar,File_Extension,trial_id,block
100,6,1,1,1,1,0,1,1,a,a,f,2,af2,_happy,P3_1,P3
100,12,1,1,1,1,0,2,3,b,a,f,2,af2,_sad,P3_2,P3
100,6,1,1,1,1,0,3,4,c,a,f,2,af2,_mad,P3_3,P3
100,12,1,1,1,1,0,4,2,d,a,f,2,af2,_scared,P3_4,P3
